Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Link Clicks,Matched Audience Targeting Consumption (Video Click),Negative feedback from users: Hide all,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions
1.22159E+17,6.1571E+13,Ulg.official ,Topologie Black Friday Special Sale 🥳,"กระเป๋าจิ๋ว มานี่มา! 😘🛍️ Topologie Black Friday Special Sale เสิร์ฟไอเทมเด็ด เอาใจคนรักกระเป๋าไซซ์เล็ก พกพาสะดวก ดีไซน์ดี ฟังก์ชันแน่น!!

วันที่ 28 พ.ย. - 2 ธ.ค. นี้ ( 5 วันเท่านั้น‼️)

1️⃣ 𝘁𝗼𝗽𝗼𝗹𝗼𝗴𝗶𝗲 𝗪𝗮𝗿𝗲𝘀 𝗦𝘁𝗿𝗮𝗽 ยิ่งช้อปคู่ ยิ่งคุ้ม!
ชิ้นที่ 1: รับส่วนลดทันที 10%
ชิ้นที่ 2: รับส่วนลดเพิ่ม 20%
( คำนวณส่วนลดชิ้นที่ 2 จากชิ้นที่มีราคาถูกที่สุดในบิล )

2️⃣ 𝘁𝗼𝗽𝗼𝗹𝗼𝗴𝗶𝗲 𝗪𝗮𝗿𝗲𝘀 𝗕𝗮𝗴𝘀
กระเป๋าลดสูงสุดถึง 15%

3️⃣ 𝘁𝗼𝗽𝗼𝗹𝗼𝗴𝗶𝗲 𝗣𝗵𝗼𝗻𝗲 𝗖𝗮𝘀𝗲
Phone Case ลดสูงสุด 30%

#สาขาที่เข้าร่วม
📍 Topologie Store 4 สาขา
- Dusit Central Park ชั้น 3
- Central Plaza Ladprao ชั้น 2
- centralwOrld ชั้น 3 โซน Atrium
- MEGABangna ชั้น 1 โซน Mega Fashion
📍SOUP 5 สาขา
- Emsphere ชั้น M
- Terminal 21 Asok
- Terminal 21 Pattaya
- Siam Paragon Department Store ชั้น 2 โซน Men‘s Shoes & Bags
- Jungceylon
📍Pronto&Co. 3 สาขา
- Central Rama 9 ชั้น G
- Central Festival Chiang Mai ชั้น 1
- &Co. Think Park Chiang Mai
📍 Thepopupstore Central Phuket Festival ชั้น 2

***หมายเหตุ
ดีลพิเศษนี้ เฉพาะ Selected items เท่านั้น สอบถามเพิ่มเติมได้ที่พนักงานประจำสาขา

#topologiethailand #topologie #ulgofficial",15,11/28/2025 21:18,N/A,https://www.facebook.com/reel/856973327023697/,0,0,Videos,,,,,Lifetime,375,177,4,4,0,0,2,,2,,,,1512.902,5.932,0,0,0
1.22159E+17,6.1571E+13,Ulg.official ,Topologie Tech Wrap,"จะออกทริปหรือไปเที่ยวไหน ก็พร้อมลุย! ด้วย Topologie Tech Wrap ผ้าห่อของอเนกประสงค์ สำหรับช่วยจัดเก็บของ ป้องกันรอยขีดข่วน และกันฝุ่นละออง น้ำหนักเบา มาพร้อมฟังก์ชัน Loop-and-hook ให้ยึดติดแน่นหนา 4 มุม

📍 Topologie Store 4 สาขา
- Dusit Central Park ชั้น 3
- Central Plaza Ladprao ชั้น 2
- centralwOrld ชั้น 3 โซน Atrium
- MEGABangna ชั้น 1 โซน Mega Fashion
📍SOUP 5 สาขา
- Emsphere ชั้น M
- Terminal 21 Asok
- Terminal 21 Pattaya
- Siam Paragon Department Store ชั้น 2 โซน Men‘s Shoes & Bags
- Jungceylon
📍Pronto&Co. 3 สาขา
- Central Rama 9 ชั้น G
- Central Festival Chiang Mai ชั้น 1
- &Co. Think Park Chiang Mai
📍 Thepopupstore Central Phuket Festival ชั้น 2

#topologiethailand #topologie #ulgofficial",11,11/29/2025 22:34,N/A,https://www.facebook.com/reel/4124226381170428/,0,0,Videos,,,,,Lifetime,97377,82301,140,126,5,9,60,,47,,13,,515857.697,5.922,0,0,0
1.22159E+17,6.1571E+13,Ulg.official ,"RED TEAM with topologie‼️ กระเป๋าที่มีดีทั้งฟังก์ชั่นและดีไซน์อยู่นี่แล้ว !!

#ไฮไลต์ไอเทมสีแดง ที่มาพร้อมดีลพิเศษจาก topologie Black Friday Special Sale
ดีลดีๆ มีถึงวันที่ 2 ธันวาคมนี้เท่านั้น ขอย้ำว่าต้องไวนะคะ 😎👌

#topologiethailand #topologie #ulgofficial #red","RED TEAM with topologie‼️ กระเป๋าที่มีดีทั้งฟังก์ชั่นและดีไซน์อยู่นี่แล้ว !!

#ไฮไลต์ไอเทมสีแดง ที่มาพร้อมดีลพิเศษจาก topologie Black Friday Special Sale
ดีลดีๆ มีถึงวันที่ 2 ธันวาคมนี้เท่านั้น ขอย้ำว่าต้องไวนะคะ 😎👌

#topologiethailand #topologie #ulgofficial #red",20,11/30/2025 23:07,N/A,https://www.facebook.com/reel/1170150098587463/,0,0,Videos,,,,,Lifetime,221,135,4,3,1,0,6,,6,,,,869.703,4.913,0,0,0
1.22159E+17,6.1571E+13,Ulg.official ,Topologie bags กระเป๋าที่ถูกต้องสำหรับ Urban Lifestyle #ulgofficial #topologie #topologiethailand,,21,12/1/2025 03:11,N/A,https://www.facebook.com/reel/1240382634595702/,0,0,Videos,,,,,Lifetime,259,141,3,2,1,0,6,,6,,,,1321.321,6.508,0,0,0
1.2216E+17,6.1571E+13,Ulg.official ,Mint Lover พร้อม!! รับดีลพิเศษจาก Topologie Black Friday Special Sale กันแบบด่วนๆ วันนี้วันสุดท้าย ห้ามพลาดนะคะ!! 🥳💞,#topologiethailand #topologie #ulgofficial,12,12/2/2025 00:07,N/A,https://www.facebook.com/reel/869478879585282/,0,0,Videos,,,,,Lifetime,258,160,5,4,1,0,10,,10,,,,1012.397,5.113,0,0,0
1.2216E+17,6.1571E+13,Ulg.official ,"𝗧𝗼𝗽𝗼𝗹𝗼𝗴𝗶𝗲 𝗦𝘁𝗿𝗮𝗽𝘀 ยิ่งเพิ่มสาย = ยิ่งสนุก 🤩🎉
ถึงเวลาอวดสไตล์ความเป็นตัวเองให้เต็มที่ กับ Topologie Straps

🌟 เพียงซื้อสายกระเป๋า เส้นที่ 2 รับไปเลย ส่วนลด 20%‼️
(ส่วนลดชิ้นที่ 2  สำหรับสายที่มีราคาถูกที่สุด)

#สาขาที่เข้าร่วม
📍 Topologie Store 4 สาขา
- Dusit Central Park ชั้น 3
- Central Plaza Ladprao ชั้น 2
- centralwOrld ชั้น 3 โซน Atrium
- MEGABangna ชั้น 1 โซน Mega Fashion
📍SOUP 5 สาขา
- Emsphere ชั้น M
- Terminal 21 Asok
- Terminal 21 Pattaya
- Siam Paragon Department Store ชั้น 2 โซน Men's Shoes & Bags
- Jungceylon
📍Pronto&Co. 3 สาขา
- Central Rama 9 ชั้น G
- Central Festival Chiang Mai ชั้น 1
- &Co. Think Park Chiang Mai
📍 Thepopupstore Central Phuket Festival ชั้น 2 
📍 Online https://th.topologie.com

#เงื่อนไขโปรโมชัน
- ส่วนลด 20% จะถูกใช้กับ Straps (สาย) ที่มีราคาถูกที่สุด
- สายกระเป๋าจากกลุ่ม Collaboration (Universal works) ไม่เข้าร่วมโปรโมชันนี้
- ดีลพิเศษนี้ เฉพาะการซื้อในบิลเดียวกันเท่านั้น

📲 ช้อปออนไลน์ได้ที่
Line OA: @topologie.th (มี@)

#topologiethailand #topologie #ulgofficial",,0,12/2/2025 20:58,N/A,https://www.facebook.com/Ulg.0fficial/posts/pfbid02xsqVFuKZ3w1a8XLoFbSwh839wK8shdCnkwVHQDAZu9K5C2HWHHAt6fk9jJotjpJHl,0,0,Photos,,,,,Lifetime,257358,189584,38,36,0,2,480,258,147,75,,,,,,,
1.2216E+17,6.1571E+13,Ulg.official ,"ยิ่งเพิ่มสาย = ยิ่งสนุก 🤩🎉

🌟 เพียงซื้อสายกระเป๋า เส้นที่ 2 รับไปเลย ส่วนลด 20%‼️
(ส่วนลดชิ้นที่ 2 สำหรับสายที่มีราคาถูกที่สุด)

#สาขาที่เข้าร่วม
📍 Topologie Store 4 สาขา
- Dusit Central Park ชั้น 3
- Central Plaza Ladprao ชั้น 2
- centralwOrld ชั้น 3 โซน Atrium
- MEGABangna ชั้น 1 โซน Mega Fashion
📍SOUP 5 สาขา
- Emsphere ชั้น M
- Terminal 21 Asok
- Terminal 21 Pattaya
- Siam Paragon Department Store ชั้น 2 โซน Men's Shoes & Bags
- Jungceylon
📍Pronto&Co. 3 สาขา
- Central Rama 9 ชั้น G
- Central Festival Chiang Mai ชั้น 1
- &Co. Think Park Chiang Mai
📍 Thepopupstore Central Phuket Festival ชั้น 2 
📍 Online https://th.topologie.com

#เงื่อนไขโปรโมชัน
- ส่วนลด 20% จะถูกใช้กับ Straps (สาย) ที่มีราคาถูกที่สุด
- สายกระเป๋าจากกลุ่ม Collaboration (Universal works) ไม่เข้าร่วมโปรโมชันนี้
- ดีลพิเศษนี้ เฉพาะการซื้อในบิลเดียวกันเท่านั้น

📲 ช้อปออนไลน์ได้ที่
Line OA: @topologie.th (มี@)

#topologiethailand #topologie #ulgofficial","ยิ่งเพิ่มสาย = ยิ่งสนุก 🤩🎉

🌟 เพียงซื้อสายกระเป๋า เส้นที่ 2 รับไปเลย ส่วนลด 20%‼️
(ส่วนลดชิ้นที่ 2 สำหรับสายที่มีราคาถูกที่สุด)

#สาขาที่เข้าร่วม
📍 Topologie Store 4 สาขา
- Dusit Central Park ชั้น 3
- Central Plaza Ladprao ชั้น 2
- centralwOrld ชั้น 3 โซน Atrium
- MEGABangna ชั้น 1 โซน Mega Fashion
📍SOUP 5 สาขา
- Emsphere ชั้น M
- Terminal 21 Asok
- Terminal 21 Pattaya
- Siam Paragon Department Store ชั้น 2 โซน Men's Shoes & Bags
- Jungceylon
📍Pronto&Co. 3 สาขา
- Central Rama 9 ชั้น G
- Central Festival Chiang Mai ชั้น 1
- &Co. Think Park Chiang Mai
📍 Thepopupstore Central Phuket Festival ชั้น 2 
📍 Online https://th.topologie.com

#เงื่อนไขโปรโมชัน
- ส่วนลด 20% จะถูกใช้กับ Straps (สาย) ที่มีราคาถูกที่สุด
- สายกระเป๋าจากกลุ่ม Collaboration (Universal works) ไม่เข้าร่วมโปรโมชันนี้
- ดีลพิเศษนี้ เฉพาะการซื้อในบิลเดียวกันเท่านั้น

📲 ช้อปออนไลน์ได้ที่
Line OA: @topologie.th (มี@)

#topologiethailand #topologie #ulgofficial",14,12/4/2025 01:34,N/A,https://www.facebook.com/reel/1470851693987500/,1,0,Videos,,,,,Lifetime,167,94,2,1,0,1,6,,1,5,,,620.391,5.213,0,0,0
1.2216E+17,6.1571E+13,Ulg.official ,"ติ๊กถูกทุกข้อ ✅ ให้ Topologie  Cloud Shopper ขนาด 16“ สี Mint กับซิกเนเจอร์ความนุ่ม จุของได้เยอะ ใช้ไปเรียนหรือทำงานได้แบบคนเก๋ 😘 พบกันได้ที่ Topologie Store ทุกสาขา! 

#topologiethailand #ulgofficial","ติ๊กถูกทุกข้อ ✅ ให้ Topologie  Cloud Shopper ขนาด 16“ สี Mint กับซิกเนเจอร์ความนุ่ม จุของได้เยอะ ใช้ไปเรียนหรือทำงานได้แบบคนเก๋ 😘 พบกันได้ที่ Topologie Store ทุกสาขา! 

#topologiethailand #ulgofficial",11,12/8/2025 02:13,N/A,https://www.facebook.com/reel/1618420819333297/,0,0,Videos,,,,,Lifetime,143,89,4,2,1,1,4,,4,,,,545.784,5.148,0,0,0
1.2216E+17,6.1571E+13,Ulg.official ,"Topologie Summit Tote คนเก๋สายแบกมาทางนี้! 

#topologiethailand #ulgofficial","Topologie Summit Tote คนเก๋สายแบกมาทางนี้! 

#topologiethailand #ulgofficial",18,12/10/2025 17:57,N/A,https://www.facebook.com/reel/1998590047375782/,0,0,Videos,,,,,Lifetime,163,99,3,3,0,0,4,,4,,,,851.953,7.04,0,0,0
1.2216E+17,6.1571E+13,Ulg.official ,"𝐓𝐨𝐩𝐨𝐥𝐨𝐠𝐢𝐞 𝐆𝐢𝐟𝐭 𝐭𝐚𝐠𝐬 - 𝐂𝐡𝐫𝐢𝐬𝐭𝐦𝐚𝐬 𝐄𝐝𝐢𝐭𝐢𝐨𝐧🎄✨ ของขวัญพิเศษสำหรับคุณคนพิเศษ

Sparkle the Season ไปด้วยกันกับเรา !!
🎁 เมื่อซื้อสินค้า Topologie ภายในร้าน ครบ 4,500 บาทขึ้นไป/ 1 ใบเสร็จ (ยอดซื้อหลังหักส่วนลด) 
🎀 รับฟรี! Topologie Gift Tag 1 ชิ้น ***ของมีจำนวนจำกัด***
🎅🏻 ตั้งแต่วันนี้ -  31 ธันวาคมนี้ เท่านั้น !!

#สาขาที่ร่วมรายการ 
📍 Topologie Dusit Central Park ชั้น 3
📍 Topologie  MEGABangna ชั้น 1 โซน Mega Fashion 
📍 Topologie Central Plaza Ladprao ชั้น 2
📍 Topologie centralwOrld ชั้น 3 โซน Atrium

#topologiethailand #topologie #ulgofficial",,0,12/11/2025 18:56,N/A,https://www.facebook.com/Ulg.0fficial/posts/pfbid0RSFHDk1tjFxaRqMD7fZP9GHTaT3Q7PA6DCfDDnoABBvNNkR7Ny8Ku97aWM2uY7LGl,0,0,Photos,,,,,Lifetime,40083,28467,9,7,0,2,27,14,7,6,,,,,,,
1.2216E+17,6.1571E+13,Ulg.official ,"🎉 ถึงไทยแล้ว! 𝗧𝗼𝗽𝗼𝗹𝗼𝗴𝗶𝗲 𝘅 𝗪𝗼𝗻𝗱𝗲𝗿𝗳𝗿𝘂𝗶𝘁: 𝗠𝗮𝗱𝗲 𝘁𝗼 𝘄𝗼𝗻𝗱𝗲𝗿 

Wonderfruit ครบรอบ 10 ปี!! นี่คือช่วงเวลาที่ควรค่าแก่การเฉลิมฉลอง เนื่องในวาระครบรอบ 10 ปี ของ Wonderfruit เทศกาลที่รวมเอา Mind, Nature และ Sound เข้าด้วยกัน ชวนเหล่าผู้คนกลับไป connect เชื่อมต่อกับธรรมชาติและแรงบันดาลใจในการใช้ชีวิตอันสมดุล 🎵🕊️

#จากแรงบันดาลใจสู่คอลเลคชันสุดพิเศษ 
Topologie และ Wonderfruit จับมือกัน นำจิตวิญญาณแห่งการสำรวจและความอยากรู้อยากเห็น มาสร้างสรรค์เกิดเป็นคอลเลกชันพิเศษ (Limited Edition) ที่ออกแบบมาเพื่ออยู่เคียงข้างคุณท่ามกลางความวุ่นวายของเมือง ในขณะเดียวกันก็ช่วยให้คุณหลีกหนีไปยังความเงียบสงบของธรรมชาติและท่องไปใน 'The Fields' (พื้นที่จัดงาน)

#ถึงไทยเรียบร้อยแล้ว ไม่ว่าจะเป็น
∘ Bottle Sacoche กระเป๋ารุ่นซิกเนเจอร์ พิมพ์ลายสไตล์ Tie-dyeing ที่ได้แรงบันดาลใจจาก Indigo World ใส่ขวดน้ำได้ เพราะใน The Fields ไม่มีพลาสติกแบบใช้ครั้งเดียว
∘ Cupholder ที่พอดีกับ Wondercup สำหรับเก็บแก้วไว้อย่างปลอดภัยและสะดวกตลอดทั้งวัน 
∘ Phone Strap & Adapter เพื่อให้คุณไม่ต้องกังวลเรื่องโทรศัพท์หายกลาง The Fields 

📍 วางจำหน่ายที่ Topologie Store สาขา Dusit Central Park ชั้น 3

#topologiethailand #topologie #wonderfruit #ulgofficial",,0,12/12/2025 04:04,N/A,https://www.facebook.com/Ulg.0fficial/posts/pfbid02LSQHne3sQSAZRpCVzpbej5wPZ7PY6vjsS99cc8ftPPc2TbpTh3UVCKSsQJdne3Utl,0,0,Photos,,,,,Lifetime,204,100,6,5,0,1,36,23,13,,,,,,,,
1.2216E+17,6.1571E+13,Ulg.official ,"Bottle Sacoche Medium จาก Topologie ดีไซน์มินิมอล Match ง่าย ใช้ได้ทุกวัน!✨

📍พบกันที่ Topologie ทุกสาขา

#topologie #topologiethailand #ulg #TopologieStyle #topologiestrap","Bottle Sacoche Medium จาก Topologie ดีไซน์มินิมอล Match ง่าย ใช้ได้ทุกวัน!✨

📍พบกันที่ Topologie ทุกสาขา

#topologie #topologiethailand #ulg #TopologieStyle #topologiestrap",18,12/12/2025 18:04,N/A,https://www.facebook.com/reel/2843634545826468/,1,0,Videos,,,,,Lifetime,90,69,3,2,1,0,2,,2,,,,437.237,6.158,0,0,0
